train_losses,val_losses
4.1034568548202515,1.520503282546997
3.5314574241638184,1.486407995223999
3.146960973739624,1.3612329959869385
2.901197075843811,1.2409723997116089
2.761775016784668,1.1687536239624023
2.6959904432296753,1.0881868600845337
2.673573076725006,1.026826024055481
2.5593501925468445,0.9741078019142151
2.4184768199920654,0.9135185480117798
2.392560064792633,0.8714680671691895
2.272101879119873,0.8464136123657227
2.201488494873047,0.818016767501831
2.381456136703491,0.7937850952148438
1.9702693223953247,0.7553977966308594
2.049594223499298,0.7346819639205933
1.9734400510787964,0.721992552280426
1.8447465896606445,0.7091288566589355
1.879845380783081,0.696382999420166
2.1389039158821106,0.690284252166748
1.8501390218734741,0.6842043399810791
1.7320090234279633,0.6696858406066895
2.1122480034828186,0.6644529700279236
1.682214230298996,0.6531127691268921
1.9686290621757507,0.6480008959770203
1.6470442712306976,0.6324443817138672
1.7813864350318909,0.6217672824859619
1.9557806849479675,0.6173132061958313
1.6798258423805237,0.609947919845581
1.5690000653266907,0.5985999703407288
1.6193160116672516,0.5907047986984253
1.723004937171936,0.5907827615737915
1.5171555280685425,0.5854322910308838
1.5207975506782532,0.5790553092956543
1.4797411561012268,0.5725184679031372
1.4567157626152039,0.5663908123970032
1.4332581758499146,0.5603748559951782
1.456347793340683,0.5556113719940186
1.7283250093460083,0.5549211502075195
1.480263888835907,0.5494968295097351
1.4305859208106995,0.5423418879508972
1.359454721212387,0.531374990940094
1.5359330773353577,0.5285362005233765
1.3498604595661163,0.5236105918884277
1.4827720820903778,0.5213539004325867
1.3073165118694305,0.5133440494537354
1.4140858948230743,0.51043301820755
1.7285039722919464,0.5131841897964478
1.2992358207702637,0.5060248374938965
1.5825650990009308,0.5045565962791443
1.2862557768821716,0.497918963432312
1.2796851694583893,0.4903629422187805
1.4366293549537659,0.4870954751968384
1.246122270822525,0.48023170232772827
1.256994605064392,0.4769124388694763
1.2198731005191803,0.471750408411026
1.1585151851177216,0.46446800231933594
1.4451487064361572,0.46347180008888245
1.2016308009624481,0.45706281065940857
1.5276950001716614,0.45639514923095703
1.2133523523807526,0.45049619674682617
1.2714658379554749,0.44754451513290405
1.214578777551651,0.44167983531951904
1.2715055346488953,0.4358785152435303
1.2184523940086365,0.4329865574836731
1.140884667634964,0.42816445231437683
1.2693447470664978,0.42525336146354675
1.0303288698196411,0.4144912660121918
1.1396335661411285,0.4126763343811035
1.3113649785518646,0.41513267159461975
1.0117372572422028,0.40763059258461
1.0441014468669891,0.40156930685043335
0.9907964169979095,0.3932964503765106
1.2895591855049133,0.39432641863822937
0.9678348898887634,0.3848879039287567
1.279255211353302,0.38749632239341736
1.0357686281204224,0.38645708560943604
1.1088027358055115,0.3824172914028168
0.9948070645332336,0.37442952394485474
1.0222924649715424,0.37002643942832947
0.9691618382930756,0.3655524253845215
0.9149205386638641,0.3582213222980499
1.3083953857421875,0.3654315173625946
0.9907129406929016,0.366524875164032
0.8962461948394775,0.3579082190990448
0.8940150439739227,0.3511256277561188
0.9057744145393372,0.34933385252952576
1.1337423920631409,0.3503998816013336
0.9043770432472229,0.34388312697410583
1.2093433737754822,0.344858318567276
0.9808735847473145,0.3432016670703888
0.9110946953296661,0.3379650413990021
1.046823114156723,0.3370075225830078
0.8541263341903687,0.33263343572616577
1.170482099056244,0.3332468867301941
0.8671747148036957,0.32977208495140076
0.9416232109069824,0.33041679859161377
0.8017216771841049,0.3238532245159149
0.9973548948764801,0.32088232040405273
1.006248563528061,0.3183470368385315
0.9203681647777557,0.3163386881351471
